16-01-2022 00:01:17 || login || {"name":"max"} 
16-01-2022 00:01:26 || delete || {"name":"max","mapId":24,"fileUrl":"files/max/Guerre_d_Espagne_markeur.json"} 
16-01-2022 00:05:31 || getMap || {"name":"Guerre civile espagnole","url":"files/max/Guerre_civile_espagnole.json"} 
16-01-2022 00:05:36 || saveMap || {"name":"max","fileUrl":"files/max/Guerre_civile_espagnole.json"} 
16-01-2022 00:14:09 || createNewFile || {} 
16-01-2022 00:14:20 || createNewFile || {} 
16-01-2022 00:17:23 || getMap || {"name":"Rome","url":"files/max/Rome.json"} 
16-01-2022 00:17:45 || getMap || {"name":"Rome","url":"files/max/Rome.json"} 
16-01-2022 00:17:51 || createNewFile || {} 
16-01-2022 00:18:00 || createNewFile || {} 
16-01-2022 00:19:02 || createNewFile || {} 
16-01-2022 00:19:11 || getMap || {"name":"Guerre d Espagne","url":"files/max/Guerre_d_Espagne.json"} 
16-01-2022 14:31:54 || getMap || {"name":"Rome","url":"files/max/Rome.json"} 
16-01-2022 15:06:50 || getMap || {"name":"Rome","url":"files/max/Rome.json"} 
16-01-2022 15:07:02 || getMap || {"name":"Rome","url":"files/max/Rome.json"} 
16-01-2022 15:07:13 || getMap || {"name":"Rome","url":"files/max/Rome.json"} 
16-01-2022 15:08:24 || getMap || {"name":"Rome","url":"files/max/Rome.json"} 
16-01-2022 15:09:03 || getMap || {"name":"Rome","url":"files/max/Rome.json"} 
16-01-2022 15:52:37 || getMap || {"name":"Rome","url":"files/max/Rome.json"} 
16-01-2022 15:52:55 || login || {"name":"max","succes":true} 
16-01-2022 15:52:57 || getMap || {"name":"Rome","url":"files/max/Rome.json"} 
16-01-2022 15:53:02 || saveMap || {"name":"max","fileUrl":"files/max/Rome.json"} 
16-01-2022 15:53:17 || getMap || {"name":"tedsf","url":"files/max/tedsf.json"} 
16-01-2022 15:53:25 || saveMap || {"name":"max","fileUrl":"files/max/tedsf.json"} 
16-01-2022 15:53:37 || getMap || {"name":"tedsf","url":"files/max/tedsf.json"} 
16-01-2022 15:57:03 || getMap || {"name":"tedsf","url":"files/max/tedsf.json"} 
16-01-2022 15:57:05 || getMap || {"name":"tedsf","url":"files/max/tedsf.json"} 
16-01-2022 15:57:13 || getMap || {"name":"tedsf","url":"files/max/tedsf.json"} 
