18-01-2022 10:10:42 || createNewFile || {} 
18-01-2022 10:19:16 || createNewFile || {} 
18-01-2022 10:20:04 || saveMap || {"name":"max","fileUrl":"files/max/France_1870_1871.json"} 
18-01-2022 10:20:06 || createNewFile || {} 
18-01-2022 10:30:29 || saveMap || {"name":"max","fileUrl":"files/max/France_1870_1871.json"} 
18-01-2022 10:44:54 || getMap || {"name":"France 1870 1871","url":"files/max/France_1870_1871.json"} 
18-01-2022 11:56:13 || saveMap || {"name":"max","fileUrl":"files/max/France_1870_1871.json"} 
18-01-2022 12:30:11 || saveMap || {"name":"max","fileUrl":"files/max/France_1870_1871.json"} 
18-01-2022 12:30:19 || getMap || {"name":"France 1870 1871","url":"files/max/France_1870_1871.json"} 
18-01-2022 12:35:23 || login || {"name":"max","succes":true} 
18-01-2022 12:47:37 || saveMap || {"name":"max","fileUrl":"files/max/France_1870_1871.json"} 
18-01-2022 13:05:34 || saveMap || {"name":"max","fileUrl":"files/max/France_1870_1871.json"} 
18-01-2022 17:11:37 || login || {"name":"max","succes":true} 
18-01-2022 17:11:47 || getMap || {"name":"Europe 1300","url":"files/max/Europe_1300.json"} 
18-01-2022 17:11:55 || saveMap || {"name":"max","fileUrl":"files/max/Europe_1300.json"} 
18-01-2022 17:31:15 || createNewFile || {} 
18-01-2022 17:33:41 || login || {"name":"shevek","succes":false} 
18-01-2022 17:33:50 || login || {"name":"shevek","succes":false} 
18-01-2022 18:14:51 || login || {"name":"max","succes":true} 
18-01-2022 18:14:56 || login || {"name":"max","succes":true} 
18-01-2022 18:15:09 || getMap || {"name":"Guerre civile espagnole","url":"files/max/Guerre_civile_espagnole.json"} 
